Broker,Date,Value
Homes & Gardens Real Estate Limited,Nov-30-2019,226.0
Homes & Gardens Real Estate Limited,Dec-31-2019,218.0
Homes & Gardens Real Estate Limited,Jan-31-2018,216.0
Homes & Gardens Real Estate Limited,Feb-28-2018,213.0
Homes & Gardens Real Estate Limited,Mar-31-2018,208.0
Homes & Gardens Real Estate Limited,Apr-30-2018,227.0
Homes & Gardens Real Estate Limited,May-31-2018,
Homes & Gardens Real Estate Limited,Jun-30-2018,
Homes & Gardens Real Estate Limited,Jul-31-2018,
Homes & Gardens Real Estate Limited,Aug-31-2018,
Homes & Gardens Real Estate Limited,Sep-30-2018,
Homes & Gardens Real Estate Limited,Oct-31-2018,
Homes & Gardens Real Estate Limited,Nov-30-2018,
Homes & Gardens Real Estate Limited,Dec-31-2018,
Homes & Gardens Real Estate Limited,Jan-31-2017,
RE/MAX Real Estate,Jan-31-2024,159.0
RE/MAX Real Estate,Feb-29-2024,169.0
RE/MAX Real Estate,Mar-31-2024,172.0
RE/MAX Real Estate,Apr-30-2024,172.0
RE/MAX Real Estate,May-31-2024,169.0
RE/MAX Real Estate,Jun-30-2024,166.0
RE/MAX Real Estate,Jul-31-2024,167.0
RE/MAX Real Estate,Aug-31-2024,167.0
RE/MAX Real Estate,Sep-30-2024,166.0
RE/MAX Real Estate,Oct-31-2024,164.0
RE/MAX Real Estate,Nov-30-2024,164.0
RE/MAX Real Estate,Dec-31-2024,164.0
RE/MAX Real Estate,Jan-31-2023,163.0
RE/MAX Real Estate,Feb-28-2023,164.0
RE/MAX Real Estate,Mar-31-2023,162.0
RE/MAX Real Estate,Apr-30-2023,163.0
RE/MAX Real Estate,May-31-2023,162.0
RE/MAX Real Estate,Jun-30-2023,160.0
RE/MAX Real Estate,Jul-31-2023,161.0
RE/MAX Real Estate,Aug-31-2023,163.0
RE/MAX Real Estate,Sep-30-2023,160.0
RE/MAX Real Estate,Oct-31-2023,161.0
RE/MAX Real Estate,Nov-30-2023,160.0
RE/MAX Real Estate,Dec-31-2023,159.0
RE/MAX Real Estate,Jan-31-2022,157.0
RE/MAX Real Estate,Feb-28-2022,159.0
RE/MAX Real Estate,Mar-31-2022,158.0
RE/MAX Real Estate,Apr-30-2022,161.0
RE/MAX Real Estate,May-31-2022,161.0
RE/MAX Real Estate,Jun-30-2022,161.0
RE/MAX Real Estate,Jul-31-2022,161.0
RE/MAX Real Estate,Aug-31-2022,161.0
RE/MAX Real Estate,Sep-30-2022,158.0
RE/MAX Real Estate,Oct-31-2022,157.0
RE/MAX Real Estate,Nov-30-2022,157.0
RE/MAX Real Estate,Dec-31-2022,160.0
RE/MAX Real Estate,Jan-31-2021,166.0
RE/MAX Real Estate,Feb-28-2021,166.0
RE/MAX Real Estate,Mar-31-2021,168.0
RE/MAX Real Estate,Apr-30-2021,166.0
RE/MAX Real Estate,May-31-2021,167.0
RE/MAX Real Estate,Jun-30-2021,167.0
RE/MAX Real Estate,Jul-31-2021,165.0
RE/MAX Real Estate,Aug-31-2021,159.0
RE/MAX Real Estate,Sep-30-2021,155.0
RE/MAX Real Estate,Oct-31-2021,144.0
RE/MAX Real Estate,Nov-30-2021,143.0
RE/MAX Real Estate,Dec-31-2021,142.0
RE/MAX Real Estate,Jan-31-2020,167.0
RE/MAX Real Estate,Feb-29-2020,166.0
RE/MAX Real Estate,Mar-31-2020,167.0
RE/MAX Real Estate,Apr-30-2020,166.0
RE/MAX Real Estate,May-31-2020,166.0
RE/MAX Real Estate,Jun-30-2020,167.0
RE/MAX Real Estate,Jul-31-2020,171.0
RE/MAX Real Estate,Aug-31-2020,177.0
RE/MAX Real Estate,Sep-30-2020,181.0
RE/MAX Real Estate,Oct-31-2020,205.0
RE/MAX Real Estate,Nov-30-2020,202.0
RE/MAX Real Estate,Dec-31-2020,195.0
RE/MAX Real Estate,Jan-31-2019,200.0
RE/MAX Real Estate,Feb-28-2019,199.0
RE/MAX Real Estate,Mar-31-2019,197.0
RE/MAX Real Estate,Apr-30-2019,193.0
RE/MAX Real Estate,May-31-2019,192.0
RE/MAX Real Estate,Jun-30-2019,190.0
RE/MAX Real Estate,Jul-31-2019,193.0
RE/MAX Real Estate,Aug-31-2019,194.0
RE/MAX Real Estate,Sep-30-2019,213.0
RE/MAX Real Estate,Oct-31-2019,335.0
RE/MAX Real Estate,Nov-30-2019,343.0
RE/MAX Real Estate,Dec-31-2019,347.0
RE/MAX Real Estate,Jan-31-2018,354.0
RE/MAX Real Estate,Feb-28-2018,357.0
RE/MAX Real Estate,Mar-31-2018,360.0
RE/MAX Real Estate,Apr-30-2018,356.0
RE/MAX Real Estate,May-31-2018,367.0
RE/MAX Real Estate,Jun-30-2018,368.0
RE/MAX Real Estate,Jul-31-2018,358.0
RE/MAX Real Estate,Aug-31-2018,357.0
RE/MAX Real Estate,Sep-30-2018,358.0
RE/MAX Real Estate,Oct-31-2018,361.0
RE/MAX Real Estate,Nov-30-2018,361.0
RE/MAX Real Estate,Dec-31-2018,357.0
RE/MAX Real Estate,Jan-31-2017,352.0
Royal Lepage Noralta Real Estate,Jan-31-2024,182.0
Royal Lepage Noralta Real Estate,Feb-29-2024,182.0
Royal Lepage Noralta Real Estate,Mar-31-2024,180.0
Royal Lepage Noralta Real Estate,Apr-30-2024,178.0
Royal Lepage Noralta Real Estate,May-31-2024,182.0
Royal Lepage Noralta Real Estate,Jun-30-2024,183.0
Royal Lepage Noralta Real Estate,Jul-31-2024,181.0
Royal Lepage Noralta Real Estate,Aug-31-2024,179.0
Royal Lepage Noralta Real Estate,Sep-30-2024,181.0
Royal Lepage Noralta Real Estate,Oct-31-2024,177.0
Royal Lepage Noralta Real Estate,Nov-30-2024,175.0
Royal Lepage Noralta Real Estate,Dec-31-2024,177.0
Royal Lepage Noralta Real Estate,Jan-31-2023,183.0
Royal Lepage Noralta Real Estate,Feb-28-2023,186.0
Royal Lepage Noralta Real Estate,Mar-31-2023,185.0
