id,Broker,Date,Value
Century_21_All_Stars_Realty_Ltd_1461,Century 21 All Stars Realty Ltd,2018-08-31,
Century_21_All_Stars_Realty_Ltd_1462,Century 21 All Stars Realty Ltd,2018-09-30,
Century_21_All_Stars_Realty_Ltd_1463,Century 21 All Stars Realty Ltd,2018-10-31,
Century_21_All_Stars_Realty_Ltd_1464,Century 21 All Stars Realty Ltd,2018-11-30,
Century_21_All_Stars_Realty_Ltd_1465,Century 21 All Stars Realty Ltd,2018-12-31,
Century_21_All_Stars_Realty_Ltd_1466,Century 21 All Stars Realty Ltd,2017-01-31,
Initia_Real_Estate_1467,Initia Real Estate,2024-01-31,289.0
Initia_Real_Estate_1468,Initia Real Estate,2024-02-29,297.0
Initia_Real_Estate_1469,Initia Real Estate,2024-03-31,284.0
Initia_Real_Estate_1470,Initia Real Estate,2024-04-30,271.0
Initia_Real_Estate_1471,Initia Real Estate,2024-05-31,261.0
Initia_Real_Estate_1472,Initia Real Estate,2024-06-30,250.0
Initia_Real_Estate_1473,Initia Real Estate,2024-07-31,233.0
Initia_Real_Estate_1474,Initia Real Estate,2024-08-31,232.0
Initia_Real_Estate_1475,Initia Real Estate,2024-09-30,221.0
Initia_Real_Estate_1476,Initia Real Estate,2024-10-31,213.0
Initia_Real_Estate_1477,Initia Real Estate,2024-11-30,209.0
Initia_Real_Estate_1478,Initia Real Estate,2024-12-31,203.0
Initia_Real_Estate_1479,Initia Real Estate,2023-01-31,198.0
Initia_Real_Estate_1480,Initia Real Estate,2023-02-28,195.0
Initia_Real_Estate_1481,Initia Real Estate,2023-03-31,193.0
Initia_Real_Estate_1482,Initia Real Estate,2023-04-30,184.0
Initia_Real_Estate_1483,Initia Real Estate,2023-05-31,186.0
Initia_Real_Estate_1484,Initia Real Estate,2023-06-30,179.0
Initia_Real_Estate_1485,Initia Real Estate,2023-07-31,171.0
Initia_Real_Estate_1486,Initia Real Estate,2023-08-31,160.0
Initia_Real_Estate_1487,Initia Real Estate,2023-09-30,158.0
Initia_Real_Estate_1488,Initia Real Estate,2023-10-31,157.0
Initia_Real_Estate_1489,Initia Real Estate,2023-11-30,143.0
Initia_Real_Estate_1490,Initia Real Estate,2023-12-31,138.0
Initia_Real_Estate_1491,Initia Real Estate,2022-01-31,128.0
Initia_Real_Estate_1492,Initia Real Estate,2022-02-28,124.0
Initia_Real_Estate_1493,Initia Real Estate,2022-03-31,117.0
Initia_Real_Estate_1494,Initia Real Estate,2022-04-30,119.0
Initia_Real_Estate_1495,Initia Real Estate,2022-05-31,117.0
Initia_Real_Estate_1496,Initia Real Estate,2022-06-30,118.0
Initia_Real_Estate_1497,Initia Real Estate,2022-07-31,109.0
Initia_Real_Estate_1498,Initia Real Estate,2022-08-31,102.0
Initia_Real_Estate_1499,Initia Real Estate,2022-09-30,101.0
Initia_Real_Estate_1500,Initia Real Estate,2022-10-31,102.0
Initia_Real_Estate_1501,Initia Real Estate,2022-11-30,
Initia_Real_Estate_1502,Initia Real Estate,2022-12-31,
Initia_Real_Estate_1503,Initia Real Estate,2021-01-31,
Initia_Real_Estate_1504,Initia Real Estate,2021-02-28,
Initia_Real_Estate_1505,Initia Real Estate,2021-03-31,
Initia_Real_Estate_1506,Initia Real Estate,2021-04-30,
Initia_Real_Estate_1507,Initia Real Estate,2021-05-31,
Initia_Real_Estate_1508,Initia Real Estate,2021-06-30,
Initia_Real_Estate_1509,Initia Real Estate,2021-07-31,
Initia_Real_Estate_1510,Initia Real Estate,2021-08-31,
Initia_Real_Estate_1511,Initia Real Estate,2021-09-30,
